,ts_code,signal_count,win_rate%,major_drawback%,avg%
129,600018.SH,16,0.0,-14.43,-8.08
130,600019.SH,19,36.84,-23.74,-10.09
131,600025.SH,18,88.89,-3.61,5.78
132,600028.SH,27,100.0,0.0,3.5
133,600029.SH,26,100.0,0.0,17.09
134,600030.SH,18,38.89,-22.69,-6.94
135,600031.SH,18,44.44,-29.66,-5.52
136,600036.SH,14,7.14,-27.93,-21.09
137,600048.SH,27,70.37,-10.4,2.79
138,600050.SH,10,100.0,0.0,40.46
139,600061.SH,12,33.33,-3.8,-1.18
140,600085.SH,28,46.43,-10.47,6.19
141,600089.SH,17,17.65,-18.09,-6.96
142,600104.SH,22,0.0,-31.29,-25.65
143,600111.SH,6,0.0,-43.67,-35.32
144,600115.SH,25,96.0,-2.55,8.63
145,600132.SH,20,45.0,-21.52,-0.73
146,600150.SH,23,65.22,-11.25,5.98
147,600161.SH,23,91.3,-19.28,7.94
148,600176.SH,25,8.0,-23.76,-13.55
149,600183.SH,19,31.58,-36.91,-12.68
150,600188.SH,26,73.08,-22.82,31.81
151,600196.SH,10,10.0,-33.13,-12.25
152,600219.SH,16,12.5,-29.55,-12.31
153,600276.SH,7,71.43,-1.16,5.07
154,600309.SH,20,75.0,-13.51,2.8
155,600332.SH,26,26.92,-5.79,-0.53
156,600346.SH,14,0.0,-35.05,-30.98
157,600352.SH,13,30.77,-26.08,-9.35
158,600362.SH,7,71.43,-19.2,1.38
159,600383.SH,23,4.35,-23.39,-11.61
160,600406.SH,17,0.0,-35.84,-25.51
161,600426.SH,21,95.24,-8.15,6.28
162,600436.SH,6,16.67,-39.16,-14.99
163,600438.SH,21,0.0,-28.37,-16.52
164,600460.SH,9,0.0,-42.8,-34.09
165,600489.SH,24,83.33,-2.84,9.25
166,600519.SH,25,40.0,-6.58,-0.02
167,600547.SH,12,91.67,-1.1,3.95
168,600570.SH,23,39.13,-34.14,-8.56
169,600584.SH,11,100.0,0.0,6.2
170,600585.SH,12,0.0,-30.33,-25.78
171,600588.SH,7,42.86,-35.63,-12.12
172,600600.SH,16,100.0,0.0,10.71
173,600606.SH,17,0.0,-40.86,-29.66
174,600655.SH,33,3.03,-27.25,-17.15
175,600660.SH,24,0.0,-26.22,-17.37
176,600690.SH,25,72.0,-14.07,1.93
177,600741.SH,13,0.0,-39.06,-25.85
178,600745.SH,9,0.0,-55.41,-41.0
179,600760.SH,23,39.13,-23.62,-6.15
180,600763.SH,15,66.67,-5.91,7.65
181,600795.SH,13,76.92,-3.46,38.46
182,600809.SH,18,72.22,-8.12,2.05
183,600837.SH,12,0.0,-28.92,-19.66
184,600845.SH,11,27.27,-36.32,-12.61
185,600886.SH,25,64.0,-6.14,2.94
186,600887.SH,23,8.7,-20.15,-14.42
187,600893.SH,13,0.0,-35.16,-16.84
188,600900.SH,12,0.0,-13.36,-9.55
189,600905.SH,31,6.45,-18.14,-10.0
190,600918.SH,4,0.0,-38.03,-30.51
191,600919.SH,25,96.0,0.0,10.55
192,600926.SH,32,6.25,-9.74,-5.02
193,600941.SH,26,100.0,0.0,19.63
194,600958.SH,11,63.64,-29.69,2.49
195,600989.SH,15,6.67,-27.31,-14.11
196,600999.SH,7,42.86,-24.05,-6.99
197,601006.SH,24,29.17,-4.91,-0.22
198,601009.SH,31,80.65,-2.3,2.87
199,601012.SH,10,0.0,-54.41,-48.28
200,601021.SH,33,96.97,0.0,15.03
201,601066.SH,10,10.0,-22.75,-6.18
202,601088.SH,13,38.46,-7.36,13.35
203,601100.SH,10,70.0,-23.56,6.68
204,601111.SH,40,80.0,-2.96,8.53
205,601117.SH,19,5.26,-26.79,-14.77
206,601138.SH,19,21.05,-22.64,-11.75
207,601155.SH,16,50.0,-36.11,-10.45
208,601166.SH,19,21.05,-13.89,-5.81
209,601169.SH,9,11.11,-6.19,-3.98
210,601186.SH,19,36.84,-8.44,-1.08
211,601211.SH,18,0.0,-25.83,-16.88
212,601216.SH,18,38.89,-20.11,-4.02
213,601225.SH,17,70.59,-9.79,30.04
214,601229.SH,7,28.57,-18.34,-3.14
215,601236.SH,8,0.0,-37.77,-30.6
216,601238.SH,15,0.0,-32.79,-25.79
217,601288.SH,15,20.0,-4.28,-1.58
218,601318.SH,15,46.67,-6.28,6.63
219,601319.SH,15,100.0,0.0,9.57
220,601328.SH,10,60.0,-2.23,1.03
221,601336.SH,6,66.67,-16.65,4.58
222,601360.SH,8,0.0,-45.99,-45.44
223,601377.SH,6,66.67,-33.86,-8.26
224,601390.SH,10,30.0,-12.08,-4.42
225,601398.SH,19,0.0,-10.21,-7.16
226,601600.SH,21,28.57,-30.58,-13.61
227,601601.SH,12,75.0,-9.56,5.48
228,601618.SH,9,11.11,-24.23,-16.6
229,601628.SH,12,100.0,0.0,31.29
230,601633.SH,18,5.56,-49.22,-17.15
231,601658.SH,14,28.57,-12.5,-3.76
232,601668.SH,20,75.0,-4.9,3.65
233,601669.SH,28,3.57,-13.42,-7.57
234,601688.SH,11,0.0,-32.21,-15.99
235,601698.SH,19,52.63,-24.82,-5.44
236,601728.SH,10,90.0,0.0,6.79
237,601766.SH,13,23.08,-16.29,-9.74
238,601788.SH,13,84.62,-1.51,6.08
239,601799.SH,17,0.0,-38.48,-17.12
240,601800.SH,19,21.05,-19.74,-5.61
241,601808.SH,13,84.62,-1.45,12.42
242,601816.SH,16,56.25,-4.55,0.3
243,601818.SH,6,16.67,-11.08,-6.63
244,601825.SH,10,60.0,-9.2,-1.36
245,601838.SH,21,52.38,-11.4,6.93
246,601857.SH,16,6.25,-14.9,-7.06
247,601865.SH,24,8.33,-27.84,-13.31
248,601868.SH,10,30.0,-15.44,-3.22
249,601877.SH,11,9.09,-42.76,-31.24
250,601878.SH,30,3.33,-23.61,-10.75
251,601881.SH,16,25.0,-13.27,-5.59
252,601888.SH,14,100.0,0.0,19.45
253,601898.SH,18,44.44,-8.22,11.03
254,601899.SH,11,90.91,-2.79,12.24
255,601901.SH,9,22.22,-7.06,-2.77
256,601916.SH,4,0.0,-18.08,-11.4
257,601919.SH,10,0.0,-47.08,-40.27
258,601939.SH,19,26.32,-10.05,-4.46
259,601966.SH,18,38.89,-47.99,-16.77
260,601985.SH,9,0.0,-25.19,-15.74
261,601988.SH,5,60.0,0.0,2.35
262,601989.SH,16,0.0,-17.34,-10.51
263,601995.SH,24,12.5,-27.87,-7.64
264,601998.SH,25,100.0,0.0,8.9
265,603019.SH,17,0.0,-29.25,-20.82
266,603087.SH,0,0.0,0.0,
267,603160.SH,11,0.0,-55.2,-48.3
268,603185.SH,6,0.0,-33.68,-24.78
269,603195.SH,30,83.33,-12.34,2.92
270,603259.SH,9,44.44,-38.11,-10.3
271,603260.SH,18,0.0,-43.83,-27.41
272,603288.SH,13,30.77,-35.06,-13.78
273,603290.SH,20,5.0,-16.02,-7.39
274,603369.SH,25,100.0,0.0,20.15
275,603392.SH,10,10.0,-43.17,-29.15
276,603486.SH,10,20.0,-58.45,-33.23
277,603501.SH,7,0.0,-70.23,-68.92
278,603659.SH,4,0.0,-62.19,-61.24
279,603799.SH,9,0.0,-48.25,-40.67
280,603806.SH,25,24.0,-44.79,-26.88
