ts_code,trade_date,open,close,low,high
002410.SZ,20221220,58.68,55.9,55.18,58.95
002410.SZ,20221219,58.19,58.3,57.61,58.64
002410.SZ,20221216,58.22,58.2,56.75,58.78
002410.SZ,20221215,56.89,59.0,56.62,59.18
002410.SZ,20221214,56.5,56.61,55.5,57.16
002410.SZ,20221213,56.94,55.8,55.59,57.58
002410.SZ,20221212,56.45,57.0,56.12,57.6
002410.SZ,20221209,55.6,56.58,55.05,57.0
002410.SZ,20221208,56.18,55.73,55.3,56.39
002410.SZ,20221207,56.86,56.32,55.18,57.07
002410.SZ,20221206,56.0,56.5,55.25,56.8
002410.SZ,20221205,55.25,56.49,54.99,56.56
002410.SZ,20221202,54.78,54.99,54.7,55.87
002410.SZ,20221201,55.57,55.09,54.58,56.9
002410.SZ,20221130,54.81,55.57,54.6,56.5
002410.SZ,20221129,53.7,55.19,53.7,55.78
002410.SZ,20221128,51.13,52.65,51.03,52.82
002410.SZ,20221125,51.5,52.16,51.01,52.66
002410.SZ,20221124,51.9,51.6,51.1,52.44
002410.SZ,20221123,52.21,51.9,51.51,52.72
002410.SZ,20221122,52.66,52.54,52.05,53.1
002410.SZ,20221121,53.3,52.66,51.73,53.66
002410.SZ,20221118,52.7,53.6,52.57,55.43
002410.SZ,20221117,52.43,53.07,51.88,53.31
002410.SZ,20221116,52.87,52.78,52.53,53.78
002410.SZ,20221115,52.0,53.25,51.87,53.9
002410.SZ,20221114,52.0,52.68,51.51,53.9
002410.SZ,20221111,49.0,50.27,48.1,51.0
002410.SZ,20221110,47.7,47.5,47.33,48.39
002410.SZ,20221109,47.39,48.11,47.2,48.51
002410.SZ,20221108,48.05,47.45,46.93,48.08
002410.SZ,20221107,47.7,48.03,47.69,48.87
002410.SZ,20221104,46.6,47.97,46.17,48.19
002410.SZ,20221103,48.0,46.72,45.91,48.19
002410.SZ,20221102,47.69,47.92,47.1,48.43
002410.SZ,20221101,50.0,48.1,47.3,50.79
002410.SZ,20221031,49.39,49.45,48.51,50.27
002410.SZ,20221028,49.89,49.98,48.59,50.48
002410.SZ,20221027,47.08,50.9,46.67,51.01
002410.SZ,20221026,44.6,46.9,44.51,47.77
002410.SZ,20221025,45.52,44.6,43.91,46.39
002410.SZ,20221024,47.02,45.74,45.0,48.45
002410.SZ,20221021,43.9,47.03,43.9,47.38
002410.SZ,20221020,44.3,43.87,43.85,45.75
002410.SZ,20221019,45.36,44.26,44.01,45.45
002410.SZ,20221018,47.36,45.35,45.09,47.83
002410.SZ,20221017,47.01,47.45,46.91,48.26
002410.SZ,20221014,46.22,47.44,46.07,47.64
002410.SZ,20221013,45.58,46.03,45.57,46.83
002410.SZ,20221012,43.51,46.0,43.12,46.09
002410.SZ,20221011,45.47,43.51,43.34,46.2
