,ts_code,signal_count,win_rate%,major_drawback%,avg%
128,600016.SH,8,0.0,-34.23,-14.87
129,600018.SH,28,42.86,-14.43,1.57
130,600019.SH,38,26.32,-28.12,-13.47
131,600025.SH,26,92.31,-3.61,16.75
132,600028.SH,42,92.86,-3.71,3.88
133,600029.SH,40,100.0,0.0,20.22
134,600030.SH,44,15.91,-32.85,-16.99
135,600031.SH,23,34.78,-54.29,-14.53
136,600036.SH,28,7.14,-29.24,-21.55
137,600048.SH,55,80.0,-10.4,6.68
138,600050.SH,18,88.89,-6.42,26.94
139,600061.SH,24,16.67,-56.79,-27.94
140,600085.SH,56,75.0,-10.47,30.67
141,600089.SH,35,60.0,-18.09,50.82
142,600104.SH,43,0.0,-39.14,-27.92
143,600111.SH,17,64.71,-43.67,59.27
144,600115.SH,40,95.0,-2.55,8.75
145,600132.SH,32,43.75,-29.08,-3.17
146,600150.SH,42,80.95,-11.25,16.17
147,600161.SH,41,51.22,-43.35,-11.32
148,600176.SH,32,6.25,-33.61,-15.11
149,600183.SH,36,16.67,-47.42,-25.93
150,600188.SH,48,87.5,-22.82,141.35
151,600196.SH,18,5.56,-48.65,-22.48
152,600219.SH,33,15.15,-29.55,-5.43
153,600276.SH,23,21.74,-63.86,-39.52
154,600309.SH,49,30.61,-23.56,-8.73
155,600332.SH,39,17.95,-15.19,-1.58
156,600346.SH,24,0.0,-49.6,-36.75
157,600352.SH,26,15.38,-34.56,-19.3
158,600362.SH,35,37.14,-25.43,-5.5
159,600383.SH,46,8.7,-31.62,-15.52
160,600406.SH,31,19.35,-35.84,-12.04
161,600426.SH,48,47.92,-20.14,-1.8
162,600436.SH,20,25.0,-39.16,-10.03
163,600438.SH,25,16.0,-28.37,-11.58
164,600460.SH,19,47.37,-42.8,10.92
165,600489.SH,42,54.76,-18.18,2.8
166,600519.SH,47,34.04,-14.41,-2.76
167,600547.SH,17,82.35,-53.29,0.68
168,600570.SH,43,20.93,-61.44,-30.9
169,600584.SH,32,34.38,-38.18,-18.0
170,600585.SH,31,0.0,-51.94,-39.19
171,600588.SH,32,9.38,-49.08,-35.82
172,600600.SH,32,100.0,0.0,14.59
173,600606.SH,26,0.0,-57.06,-36.41
174,600655.SH,59,1.69,-37.92,-20.4
175,600660.SH,45,0.0,-33.74,-21.43
176,600690.SH,41,48.78,-21.21,-2.38
177,600741.SH,30,0.0,-42.27,-31.04
178,600745.SH,25,0.0,-55.41,-44.5
179,600760.SH,39,38.46,-23.62,-5.73
180,600763.SH,22,45.45,-58.58,-10.14
181,600795.SH,23,86.96,-3.46,63.46
182,600809.SH,27,51.85,-12.26,-0.56
183,600837.SH,28,0.0,-40.07,-25.47
184,600845.SH,37,8.11,-36.32,-23.42
185,600886.SH,46,80.43,-6.14,8.82
186,600887.SH,31,6.45,-25.57,-14.75
187,600893.SH,27,22.22,-35.16,-11.51
188,600900.SH,42,71.43,-13.36,1.72
189,600905.SH,38,10.53,-18.14,-7.82
190,600918.SH,21,0.0,-61.04,-50.68
191,600919.SH,47,97.87,0.0,14.11
192,600926.SH,42,7.14,-16.98,-5.95
193,600941.SH,26,100.0,0.0,19.63
194,600958.SH,23,52.17,-29.69,0.77
195,600989.SH,34,23.53,-27.31,-8.83
196,600999.SH,29,10.34,-42.6,-28.79
197,601006.SH,44,45.45,-4.91,0.53
198,601009.SH,49,85.71,-2.3,9.29
199,601012.SH,25,0.0,-54.89,-50.67
200,601021.SH,45,97.78,-1.38,17.3
201,601066.SH,21,4.76,-49.2,-17.2
202,601088.SH,30,73.33,-7.36,46.72
203,601100.SH,34,41.18,-41.1,-8.48
204,601111.SH,62,87.1,-2.96,18.69
205,601117.SH,40,50.0,-26.79,10.9
206,601138.SH,37,10.81,-38.7,-22.93
207,601155.SH,34,23.53,-52.06,-24.6
208,601166.SH,33,24.24,-22.0,-6.82
209,601169.SH,18,5.56,-14.52,-8.18
210,601186.SH,30,26.67,-15.57,-2.49
211,601211.SH,42,0.0,-27.33,-20.33
212,601216.SH,37,18.92,-40.19,-14.4
213,601225.SH,29,82.76,-9.79,65.55
214,601229.SH,28,7.14,-30.02,-21.8
215,601236.SH,14,0.0,-58.26,-36.83
216,601238.SH,38,26.32,-32.79,-12.06
217,601288.SH,21,14.29,-11.28,-4.04
218,601318.SH,39,17.95,-41.66,-19.84
219,601319.SH,28,53.57,-26.7,-5.37
220,601328.SH,19,84.21,-2.23,3.17
221,601336.SH,21,19.05,-47.91,-29.48
222,601360.SH,17,0.0,-61.95,-51.03
223,601377.SH,36,11.11,-33.86,-23.56
224,601390.SH,27,40.74,-12.08,-1.18
225,601398.SH,35,0.0,-19.89,-10.92
226,601600.SH,29,48.28,-30.58,0.15
227,601601.SH,34,26.47,-39.87,-12.25
228,601618.SH,27,51.85,-25.12,-2.13
229,601628.SH,37,67.57,-14.06,11.49
230,601633.SH,25,4.0,-49.22,-16.75
