ts_code,trade_date,open,close,low,high
601088.SH,20221220,28.14,27.91,27.75,28.26
601088.SH,20221219,28.53,28.14,27.98,28.6
601088.SH,20221216,28.41,28.58,28.32,28.75
601088.SH,20221215,28.71,28.38,28.2,28.89
601088.SH,20221214,28.73,28.82,28.47,28.9
601088.SH,20221213,28.58,28.65,28.28,28.88
601088.SH,20221212,29.01,28.43,28.35,29.37
601088.SH,20221209,29.05,29.11,28.93,29.2
601088.SH,20221208,29.24,29.1,28.86,29.36
601088.SH,20221207,30.0,29.24,29.06,30.0
601088.SH,20221206,29.61,29.95,29.32,30.05
601088.SH,20221205,29.8,29.83,29.41,29.95
601088.SH,20221202,29.79,29.39,29.26,30.05
601088.SH,20221201,30.87,29.86,29.82,30.97
601088.SH,20221130,30.3,30.55,29.99,30.99
601088.SH,20221129,30.4,30.25,29.9,30.58
601088.SH,20221128,29.88,30.37,29.75,30.54
601088.SH,20221125,29.33,30.26,29.25,30.5
601088.SH,20221124,29.15,29.41,29.13,29.7
601088.SH,20221123,28.59,29.34,28.58,29.78
601088.SH,20221122,28.01,28.57,27.96,28.83
601088.SH,20221121,28.0,27.99,27.83,28.34
601088.SH,20221118,28.33,28.28,28.07,28.53
601088.SH,20221117,28.67,28.24,28.13,28.7
601088.SH,20221116,28.75,28.84,28.5,29.14
601088.SH,20221115,28.5,28.59,28.1,28.78
601088.SH,20221114,29.95,28.6,28.41,30.23
601088.SH,20221111,29.85,29.85,29.36,29.99
601088.SH,20221110,29.11,29.45,28.18,29.59
601088.SH,20221109,29.85,29.41,29.3,30.08
601088.SH,20221108,30.28,29.91,29.77,30.6
601088.SH,20221107,29.8,30.17,29.62,30.69
601088.SH,20221104,28.8,29.74,28.77,30.15
601088.SH,20221103,29.15,28.83,28.74,29.46
601088.SH,20221102,28.31,29.15,28.01,29.35
601088.SH,20221101,28.21,28.42,27.57,28.63
601088.SH,20221031,29.51,28.03,27.95,30.62
601088.SH,20221028,29.3,29.36,29.15,30.05
601088.SH,20221027,29.05,29.33,29.05,29.66
601088.SH,20221026,29.71,29.01,28.8,30.04
601088.SH,20221025,30.22,29.83,29.61,30.23
601088.SH,20221024,30.7,29.85,29.75,31.15
601088.SH,20221021,30.46,30.82,30.44,31.3
601088.SH,20221020,31.11,30.45,30.35,31.16
601088.SH,20221019,30.83,31.04,30.73,31.47
