ts_code,trade_date,open,close,low,high
002460.SZ,20221220,77.06,74.7,74.44,77.43
002460.SZ,20221219,75.52,77.06,75.46,79.5
002460.SZ,20221216,77.08,75.9,74.35,77.45
002460.SZ,20221215,77.01,78.22,76.33,78.68
002460.SZ,20221214,77.66,77.42,77.03,78.5
002460.SZ,20221213,78.66,78.0,77.97,79.79
002460.SZ,20221212,80.15,78.5,78.5,80.15
002460.SZ,20221209,80.35,80.71,79.6,81.7
002460.SZ,20221208,81.18,80.4,80.35,82.5
002460.SZ,20221207,80.16,81.39,79.88,82.93
002460.SZ,20221206,78.5,80.69,77.81,81.65
002460.SZ,20221205,80.81,79.61,79.1,81.33
002460.SZ,20221202,80.95,80.6,80.02,81.5
002460.SZ,20221201,83.5,81.17,81.15,83.52
002460.SZ,20221130,77.85,81.0,77.81,82.33
002460.SZ,20221129,77.07,78.06,76.55,78.63
002460.SZ,20221128,76.11,77.07,75.5,77.18
002460.SZ,20221125,79.76,78.28,78.24,79.79
002460.SZ,20221124,81.23,80.43,79.8,81.85
002460.SZ,20221123,79.7,80.45,79.16,81.11
002460.SZ,20221122,82.3,80.2,79.88,82.52
002460.SZ,20221121,80.0,81.8,79.25,82.31
002460.SZ,20221118,82.02,80.29,80.29,82.79
002460.SZ,20221117,83.0,82.8,81.38,84.19
002460.SZ,20221116,85.0,83.52,83.24,85.28
002460.SZ,20221115,83.25,85.79,83.16,85.98
002460.SZ,20221114,88.02,84.76,83.99,88.88
002460.SZ,20221111,88.71,88.0,86.9,89.7
002460.SZ,20221110,87.11,85.65,84.63,87.93
002460.SZ,20221109,91.79,89.19,89.11,92.43
002460.SZ,20221108,89.6,90.33,87.87,90.55
002460.SZ,20221107,90.68,89.37,88.6,91.67
002460.SZ,20221104,85.48,89.86,84.2,91.0
002460.SZ,20221103,84.4,84.7,83.89,86.5
002460.SZ,20221102,84.91,86.12,84.55,86.75
002460.SZ,20221101,79.04,85.76,79.04,85.76
002460.SZ,20221031,77.0,79.02,76.79,80.99
002460.SZ,20221028,79.26,76.64,76.38,79.29
002460.SZ,20221027,81.11,80.5,80.36,82.17
002460.SZ,20221026,80.51,80.57,80.1,82.28
002460.SZ,20221025,78.0,79.98,74.87,80.0
002460.SZ,20221024,78.97,77.65,76.78,80.6
002460.SZ,20221021,78.8,77.3,76.81,78.8
002460.SZ,20221020,78.0,78.45,76.78,79.5
002460.SZ,20221019,79.22,78.74,78.69,81.37
002460.SZ,20221018,80.58,79.2,78.84,80.96
002460.SZ,20221017,78.8,79.2,77.66,80.32
002460.SZ,20221014,74.61,77.3,74.22,78.08
002460.SZ,20221013,74.82,73.43,73.02,75.21
002460.SZ,20221012,73.96,75.55,71.85,75.55
002460.SZ,20221011,73.73,74.11,72.61,75.0
002460.SZ,20221010,74.8,72.25,72.2,74.95
002460.SZ,20220930,76.3,74.84,74.8,76.75
002460.SZ,20220929,76.5,76.76,76.2,78.3
002460.SZ,20220928,78.21,75.02,75.0,78.51
002460.SZ,20220927,80.01,78.96,76.37,80.38
002460.SZ,20220926,79.05,79.28,78.76,80.95
002460.SZ,20220923,82.0,80.26,79.02,82.43
002460.SZ,20220922,82.83,82.11,81.51,83.55
002460.SZ,20220921,83.06,83.08,82.67,84.22
002460.SZ,20220920,82.33,83.9,81.8,85.8
002460.SZ,20220919,78.04,81.18,78.0,82.53
002460.SZ,20220916,79.8,78.03,76.44,79.8
002460.SZ,20220915,84.2,81.08,80.65,86.28
002460.SZ,20220914,83.0,83.42,82.66,84.99
002460.SZ,20220913,84.88,84.48,83.48,85.58
002460.SZ,20220909,83.44,84.06,82.65,84.48
002460.SZ,20220908,84.32,82.59,82.55,84.49
002460.SZ,20220907,82.69,84.17,82.53,85.2
002460.SZ,20220906,81.6,83.57,80.83,84.19
002460.SZ,20220905,81.9,81.1,80.17,82.74
002460.SZ,20220902,84.8,82.86,82.2,84.98
002460.SZ,20220901,85.71,84.05,83.88,86.0
002460.SZ,20220831,88.8,85.7,84.53,90.48
002460.SZ,20220830,90.44,90.56,88.77,91.27
002460.SZ,20220829,88.85,89.79,87.73,90.47
002460.SZ,20220826,86.23,89.91,85.89,92.36
002460.SZ,20220825,90.3,86.04,84.03,90.6
002460.SZ,20220824,93.5,89.91,89.7,94.2
002460.SZ,20220823,93.7,92.92,92.0,94.37
002460.SZ,20220822,89.0,93.81,87.58,94.08
002460.SZ,20220819,90.0,89.09,88.86,91.39
002460.SZ,20220818,90.69,90.47,90.25,92.2
002460.SZ,20220817,92.1,91.12,90.01,92.41
002460.SZ,20220816,93.79,92.41,92.0,94.25
002460.SZ,20220815,91.32,93.78,91.26,94.98
002460.SZ,20220812,91.04,91.7,91.0,94.48
002460.SZ,20220811,91.01,91.49,89.25,91.5
002460.SZ,20220810,92.42,90.5,89.64,93.35
002460.SZ,20220809,91.97,92.39,91.07,93.0
002460.SZ,20220808,90.4,91.19,89.8,92.7
002460.SZ,20220805,88.8,90.95,87.37,91.18
002460.SZ,20220804,88.0,89.06,87.01,90.48
002460.SZ,20220803,89.6,87.04,86.57,90.67
002460.SZ,20220802,90.45,88.09,87.48,90.77
002460.SZ,20220801,89.2,92.2,88.62,92.28
002460.SZ,20220729,91.0,89.11,89.11,91.66
002460.SZ,20220728,93.52,90.82,90.68,93.71
002460.SZ,20220727,93.8,92.8,91.28,93.85
002460.SZ,20220726,91.52,93.79,91.52,96.0
002460.SZ,20220725,93.0,91.51,91.5,93.9
002460.SZ,20220722,94.0,93.2,92.0,94.28
002460.SZ,20220721,98.01,93.0,92.98,98.08
002460.SZ,20220720,99.1,98.44,98.06,101.0
002460.SZ,20220719,100.27,98.2,98.03,101.45
002460.SZ,20220718,100.7,100.25,97.38,101.8
002460.SZ,20220715,99.0,100.02,98.66,104.79
002460.SZ,20220714,100.0,100.41,97.7,101.63
002460.SZ,20220713,98.68,100.95,96.52,102.29
002460.SZ,20220712,102.1,100.48,98.5,103.98
002460.SZ,20220711,107.0,101.19,99.13,107.0
002460.SZ,20220708,114.5,108.48,108.0,115.5
002460.SZ,20220707,113.03,112.97,110.15,113.8
002460.SZ,20220706,108.28,114.01,107.12,116.86
002460.SZ,20220705,110.36,109.85,106.29,113.34
002460.SZ,20220704,104.0,110.33,104.0,111.75
002460.SZ,20220701,147.24,156.97,147.0,158.16
002460.SZ,20220630,144.18,148.7,144.0,149.03
002460.SZ,20220629,149.47,143.15,143.03,149.5
002460.SZ,20220628,149.1,150.0,146.7,150.6
002460.SZ,20220627,137.2,149.19,137.2,150.16
002460.SZ,20220624,137.66,136.51,134.7,138.23
002460.SZ,20220623,135.8,137.65,132.01,137.9
002460.SZ,20220622,137.0,135.6,135.38,138.86
002460.SZ,20220621,140.63,136.65,134.74,140.79
002460.SZ,20220620,140.5,141.49,139.46,143.68
002460.SZ,20220617,130.0,140.2,129.9,141.99
002460.SZ,20220616,134.8,131.97,131.81,136.39
002460.SZ,20220615,135.0,135.45,132.63,137.83
002460.SZ,20220614,134.94,134.87,130.0,135.16
002460.SZ,20220613,129.38,137.0,129.38,139.34
002460.SZ,20220610,126.72,131.48,126.15,131.6
002460.SZ,20220609,129.84,128.15,127.18,131.99
002460.SZ,20220608,130.0,130.79,128.41,133.8
002460.SZ,20220607,126.89,127.13,125.57,128.66
002460.SZ,20220606,117.15,126.84,117.15,128.3
002460.SZ,20220602,115.51,116.68,114.68,117.3
002460.SZ,20220601,118.11,117.05,114.01,118.47
002460.SZ,20220531,119.23,119.0,116.12,119.46
002460.SZ,20220530,120.48,119.23,118.1,121.81
002460.SZ,20220527,123.99,119.4,118.7,124.1
002460.SZ,20220526,120.98,121.2,118.06,124.28
