ts_code,trade_date,open,close,low,high
002241.SZ,20221220,17.29,17.89,17.11,18.4
002241.SZ,20221219,17.5,17.42,17.35,18.21
002241.SZ,20221216,17.72,17.65,17.5,17.92
002241.SZ,20221215,17.2,17.91,17.14,18.26
002241.SZ,20221214,17.68,17.31,17.28,17.74
002241.SZ,20221213,18.12,17.61,17.6,18.18
002241.SZ,20221212,17.54,18.09,17.4,18.28
002241.SZ,20221209,17.71,17.61,17.5,17.82
002241.SZ,20221208,18.03,17.71,17.67,18.08
002241.SZ,20221207,18.3,18.1,18.06,18.49
002241.SZ,20221206,18.35,18.34,18.15,18.74
002241.SZ,20221205,17.36,18.27,16.88,18.37
002241.SZ,20221202,17.82,17.89,17.77,18.08
002241.SZ,20221201,18.33,17.95,17.93,18.46
002241.SZ,20221130,17.86,18.14,17.8,18.32
002241.SZ,20221129,17.49,17.92,17.48,18.04
002241.SZ,20221128,17.42,17.45,17.22,17.61
002241.SZ,20221125,17.95,17.61,17.55,18.06
002241.SZ,20221124,18.16,17.95,17.88,18.35
002241.SZ,20221123,18.02,18.1,17.78,18.22
002241.SZ,20221122,18.49,18.22,18.18,18.75
002241.SZ,20221121,18.26,18.51,18.08,18.62
002241.SZ,20221118,19.15,18.48,18.48,19.23
002241.SZ,20221117,18.9,19.05,18.36,19.1
002241.SZ,20221116,18.88,18.99,18.58,19.4
002241.SZ,20221115,18.0,18.88,17.72,18.92
002241.SZ,20221114,16.86,18.03,16.76,18.69
002241.SZ,20221111,16.81,17.3,16.81,17.86
002241.SZ,20221110,18.65,18.65,18.65,18.65
002241.SZ,20221109,20.72,20.72,20.72,20.72
002241.SZ,20221108,23.6,23.02,22.81,23.88
002241.SZ,20221107,24.05,23.93,23.68,24.45
002241.SZ,20221104,23.1,23.86,23.09,24.07
002241.SZ,20221103,24.0,23.25,22.94,24.24
002241.SZ,20221102,24.98,24.46,24.3,25.07
002241.SZ,20221101,22.05,22.79,21.45,22.93
002241.SZ,20221031,21.43,21.68,21.23,22.22
002241.SZ,20221028,23.0,21.85,21.85,23.0
002241.SZ,20221027,24.51,24.28,24.15,25.04
002241.SZ,20221026,24.11,24.35,23.99,24.78
002241.SZ,20221025,24.42,23.97,23.69,24.59
002241.SZ,20221024,25.02,24.42,24.29,25.67
002241.SZ,20221021,25.81,25.1,25.0,25.9
002241.SZ,20221020,25.48,25.89,25.15,26.28
002241.SZ,20221019,26.01,25.5,25.5,26.14
002241.SZ,20221018,26.8,26.14,25.92,26.98
002241.SZ,20221017,26.12,26.51,26.05,26.67
002241.SZ,20221014,25.56,26.49,25.35,26.58
002241.SZ,20221013,25.0,25.22,24.92,25.8
002241.SZ,20221012,24.8,25.33,24.01,25.37
002241.SZ,20221011,25.12,24.9,24.8,25.42
002241.SZ,20221010,26.35,25.1,25.02,26.37
002241.SZ,20220930,27.0,26.5,26.48,27.28
002241.SZ,20220929,27.2,27.33,27.06,27.79
002241.SZ,20220928,28.49,26.87,26.87,28.49
002241.SZ,20220927,28.2,28.56,28.01,28.56
002241.SZ,20220926,27.49,27.94,27.37,28.31
002241.SZ,20220923,29.0,27.85,27.74,29.08
002241.SZ,20220922,28.8,29.05,28.41,29.4
002241.SZ,20220921,30.68,29.5,29.5,30.68
002241.SZ,20220920,32.31,30.98,30.72,32.49
002241.SZ,20220919,32.2,32.2,31.99,32.65
002241.SZ,20220916,32.51,32.06,31.99,33.07
002241.SZ,20220915,32.64,32.76,31.93,33.22
002241.SZ,20220914,32.0,32.51,31.81,32.72
002241.SZ,20220913,32.88,32.73,32.66,33.45
002241.SZ,20220909,32.23,32.43,31.95,32.58
002241.SZ,20220908,32.96,32.42,32.41,33.2
