ts_code,trade_date,open,close,low,high
001289.SZ,20221220,17.66,17.64,17.56,17.81
001289.SZ,20221219,18.03,17.65,17.6,18.3
001289.SZ,20221216,18.31,18.22,18.21,18.58
001289.SZ,20221215,18.31,18.4,18.2,18.49
001289.SZ,20221214,18.37,18.36,18.32,18.55
001289.SZ,20221213,18.64,18.42,18.4,18.8
001289.SZ,20221212,19.18,18.65,18.56,19.25
001289.SZ,20221209,19.0,19.17,18.98,19.27
001289.SZ,20221208,18.94,18.97,18.89,19.17
001289.SZ,20221207,19.2,19.03,18.95,19.28
001289.SZ,20221206,19.77,19.19,19.08,19.78
001289.SZ,20221205,19.6,19.8,19.5,19.9
001289.SZ,20221202,19.79,19.49,19.43,19.95
001289.SZ,20221201,19.78,19.75,19.69,20.07
001289.SZ,20221130,20.13,19.75,19.68,20.13
001289.SZ,20221129,20.43,20.01,19.62,20.5
001289.SZ,20221128,21.0,20.4,20.37,21.08
001289.SZ,20221125,20.3,21.22,20.17,21.25
001289.SZ,20221124,20.15,20.45,20.1,20.49
001289.SZ,20221123,20.59,20.25,19.81,20.59
001289.SZ,20221122,20.11,20.37,20.0,20.48
001289.SZ,20221121,19.88,20.2,19.51,20.35
001289.SZ,20221118,20.18,20.01,19.88,20.21
001289.SZ,20221117,19.88,20.22,19.61,20.24
001289.SZ,20221116,19.41,20.15,19.39,20.69
001289.SZ,20221115,18.86,19.37,18.71,19.69
001289.SZ,20221114,18.81,18.86,18.63,19.1
001289.SZ,20221111,19.11,18.74,18.72,19.15
001289.SZ,20221110,18.79,18.6,18.6,19.0
001289.SZ,20221109,18.68,19.0,18.61,19.1
001289.SZ,20221108,18.57,18.68,18.52,18.99
001289.SZ,20221107,18.44,18.8,18.35,18.96
001289.SZ,20221104,18.01,18.48,17.96,18.62
001289.SZ,20221103,17.88,17.95,17.7,18.2
001289.SZ,20221102,17.88,18.09,17.43,18.09
001289.SZ,20221101,17.85,18.07,17.76,18.24
001289.SZ,20221031,18.12,17.74,17.63,18.25
001289.SZ,20221028,18.73,17.96,17.9,18.9
001289.SZ,20221027,19.08,18.73,18.64,19.28
001289.SZ,20221026,18.91,19.03,18.73,19.17
001289.SZ,20221025,18.89,18.93,18.52,19.15
001289.SZ,20221024,19.6,18.88,18.8,19.6
001289.SZ,20221021,18.7,19.5,18.58,19.88
001289.SZ,20221020,18.59,18.6,18.22,18.87
001289.SZ,20221019,18.66,18.69,18.52,19.09
001289.SZ,20221018,18.67,18.77,18.61,18.98
001289.SZ,20221017,18.8,18.61,18.32,18.87
001289.SZ,20221014,18.42,19.12,18.1,19.39
001289.SZ,20221013,17.95,18.32,17.76,18.5
001289.SZ,20221012,17.76,18.15,17.39,18.15
001289.SZ,20221011,17.0,17.65,16.92,17.75
001289.SZ,20221010,17.4,17.01,16.81,17.82
001289.SZ,20220930,17.3,17.39,17.23,17.65
001289.SZ,20220929,17.78,17.35,17.25,17.85
001289.SZ,20220928,18.11,17.52,17.47,18.27
001289.SZ,20220927,18.02,18.2,17.84,18.38
001289.SZ,20220926,18.33,17.85,17.8,18.33
001289.SZ,20220923,18.88,18.38,18.18,19.12
001289.SZ,20220922,19.13,18.89,18.89,19.24
001289.SZ,20220921,18.86,19.28,18.53,19.36
001289.SZ,20220920,18.83,18.93,18.83,19.07
001289.SZ,20220919,19.11,18.74,18.68,19.25
001289.SZ,20220916,20.11,19.1,19.1,20.12
001289.SZ,20220915,21.21,19.99,19.99,21.27
001289.SZ,20220914,21.3,21.03,20.87,21.65
001289.SZ,20220913,21.98,21.78,21.41,22.15
001289.SZ,20220909,22.0,21.92,21.71,22.24
001289.SZ,20220908,22.15,21.89,21.81,22.58
001289.SZ,20220907,21.3,22.37,21.1,22.5
001289.SZ,20220906,21.11,21.5,20.8,21.58
001289.SZ,20220905,20.68,21.05,20.58,21.18
001289.SZ,20220902,20.71,20.9,20.52,21.34
001289.SZ,20220901,21.17,20.71,20.65,21.29
001289.SZ,20220831,21.97,21.16,20.97,22.19
001289.SZ,20220830,22.58,22.2,21.87,22.86
001289.SZ,20220829,22.1,22.71,21.75,22.95
001289.SZ,20220826,22.21,22.3,21.89,22.72
001289.SZ,20220825,22.52,22.62,22.01,23.16
001289.SZ,20220824,23.25,22.27,22.12,23.57
001289.SZ,20220823,23.76,24.0,23.29,24.56
001289.SZ,20220822,25.23,23.88,23.79,25.7
001289.SZ,20220819,21.9,24.04,21.9,24.04
001289.SZ,20220818,22.51,21.85,21.71,22.66
001289.SZ,20220817,21.09,22.88,21.0,22.88
001289.SZ,20220816,20.58,20.8,20.4,20.88
001289.SZ,20220815,20.25,20.38,20.0,20.53
001289.SZ,20220812,20.13,20.23,20.03,20.4
001289.SZ,20220811,19.85,20.13,19.74,20.2
001289.SZ,20220810,19.85,19.69,19.56,19.91
001289.SZ,20220809,20.0,19.9,19.83,20.17
001289.SZ,20220808,19.64,20.0,19.52,20.07
001289.SZ,20220805,19.65,19.77,19.21,19.77
001289.SZ,20220804,19.61,19.65,19.43,19.87
001289.SZ,20220803,19.62,19.56,19.55,19.97
001289.SZ,20220802,20.42,19.72,19.58,20.46
001289.SZ,20220801,21.0,20.75,20.4,21.06
001289.SZ,20220729,21.04,21.03,20.97,21.5
001289.SZ,20220728,21.0,21.15,20.97,21.25
001289.SZ,20220727,21.0,20.99,20.94,21.23
001289.SZ,20220726,20.9,21.16,20.47,21.21
001289.SZ,20220725,21.39,20.96,20.93,21.5
001289.SZ,20220722,22.2,21.38,21.11,22.45
001289.SZ,20220721,22.76,22.28,22.25,22.85
001289.SZ,20220720,22.49,22.54,22.17,22.73
001289.SZ,20220719,22.69,22.5,22.16,22.8
001289.SZ,20220718,22.12,22.7,22.0,22.77
001289.SZ,20220715,22.4,22.12,21.97,22.59
001289.SZ,20220714,22.7,22.36,22.09,22.7
001289.SZ,20220713,22.0,22.88,21.6,22.97
001289.SZ,20220712,22.37,22.15,21.95,22.85
001289.SZ,20220711,22.25,22.36,22.13,22.79
001289.SZ,20220708,22.59,22.23,22.1,22.65
001289.SZ,20220707,22.08,22.59,21.9,22.79
001289.SZ,20220706,21.88,22.1,21.75,22.6
001289.SZ,20220705,22.18,22.1,21.91,22.88
001289.SZ,20220704,21.48,21.93,21.3,22.08
001289.SZ,20220701,21.82,21.54,21.43,22.28
001289.SZ,20220630,21.18,21.76,21.06,21.99
001289.SZ,20220629,22.21,21.18,21.1,22.29
001289.SZ,20220628,21.7,22.21,21.61,22.21
001289.SZ,20220627,21.71,21.65,21.54,22.08
001289.SZ,20220624,21.11,21.81,21.01,22.08
001289.SZ,20220623,21.01,21.19,20.81,21.2
001289.SZ,20220622,21.72,21.16,21.0,21.82
001289.SZ,20220621,22.54,21.77,21.5,22.88
001289.SZ,20220620,21.46,22.04,21.46,22.5
001289.SZ,20220617,21.24,21.46,21.14,21.68
001289.SZ,20220616,21.6,21.35,21.28,21.72
001289.SZ,20220615,21.46,21.7,21.32,22.3
001289.SZ,20220614,21.21,21.57,20.69,21.58
001289.SZ,20220613,21.83,21.52,21.31,21.95
001289.SZ,20220610,21.74,21.97,21.72,22.65
001289.SZ,20220609,22.44,21.92,21.83,22.9
001289.SZ,20220608,22.4,22.71,22.12,23.28
001289.SZ,20220607,22.89,22.4,22.26,23.14
001289.SZ,20220606,22.5,22.9,22.32,23.13
001289.SZ,20220602,22.7,22.6,22.45,22.84
001289.SZ,20220601,22.66,22.82,22.33,23.02
001289.SZ,20220531,23.29,22.85,22.66,23.35
001289.SZ,20220530,23.5,23.08,22.52,23.64
001289.SZ,20220527,23.1,23.33,22.86,23.33
001289.SZ,20220526,22.95,23.0,22.66,23.27
001289.SZ,20220525,21.97,22.8,21.73,23.0
001289.SZ,20220524,22.32,21.8,21.8,22.73
001289.SZ,20220523,22.38,22.32,22.0,22.38
001289.SZ,20220520,22.16,22.43,22.16,22.86
